Y,Z
-51.599999999999994,-0.0
-52.69999999999999,-0.0
-53.80000000000001,-0.0
-54.900000000000006,-0.0
-56.0,-0.0
-57.099999999999994,-0.0
-58.19999999999999,-0.0
-59.30000000000001,-0.0
-60.400000000000006,-0.0
-61.5,-0.0
-62.599999999999994,-0.0
-63.69999999999999,-0.0
-64.80000000000001,-0.0
-65.9,-0.0
-67.0,-0.0
-68.1,-0.0
-69.19999999999999,-0.0
-70.30000000000001,-0.0
-71.4,-0.0
-72.5,-0.0
-73.59887626490001,0.0224578441282
-74.5884353745,0.4703156254329
-75.19796923870001,1.369355275213
-75.30000000000001,2.458407346414
-75.30000000000001,3.558407346414
-75.30000000000001,4.658407346414
-75.30000000000001,5.758407346414
-75.30000000000001,6.858407346414
-75.2958199013,7.958343635824
-75.09603342509999,9.036526848382
-74.6109765374,10.01994613416
-73.8771010717,10.83469792254
-72.94955747899999,11.41955393866
-71.8980502938,11.73056248407
-70.80205422739999,11.8212818409
-69.7048496576,11.89965359589
-68.6076450878,11.97802535088
-67.510440518,12.05639710586
-66.4132359482,12.13476886085
-65.3160313784,12.21314061584
-64.2188268086,12.29151237082
-63.12162223870001,12.36988412581
-62.024417668900014,12.4482558808
-60.92721309909999,12.52662763578
-59.83000852929999,12.60499939077
-58.73280395949999,12.68337114576
-57.63559938969999,12.76174290074
-56.53839481989999,12.84011465573
-55.4415392665,12.92304883102
-54.347089312799994,13.03306267412
-53.256078171300004,13.1731285012
-52.16933086719999,13.34314039416
-51.08766920139999,13.54296978961
-50.011911128799994,13.77246557608
-48.94287014029999,14.03145420833
-47.8813546472,14.31973983854
-46.8281673699,14.63710446446
-45.784104731300005,14.98330809419
-44.748847701,15.35508001138
-43.71507493519999,15.73099738077
-42.6813021693,16.10691475017
-41.6475294035,16.48283211956
-40.61375663770001,16.85874948896
-39.579983871799996,17.23466685835
-38.546211106,17.61058422775
-37.512438340100005,17.98650159715
-36.478665574299995,18.36241896654
-35.4448928085,18.73833633594
-34.411120042600004,19.11425370533
-33.377347276799995,19.49017107473
-32.343574511,19.86608844412
-31.309801745100003,20.24200581352
-30.276028979299994,20.61792318291
-29.242256213399997,20.99384055231
-28.208483447600003,21.3697579217
-27.174710681799993,21.7456752911
-26.140937915899997,22.1215926605
-25.107165150100002,22.49751002989
-24.073392384300007,22.87342739929
-23.039619618399996,23.24934476868
-22.0058468526,23.62526213808
-20.972074086700005,24.00117950747
-19.93830132091,24.37709687687
-18.90452855507,24.75301424626
-17.870755789230003,25.12893161566
-16.836983023399995,25.50484898505
-15.834085644240005,25.95399529386
-14.913766117679998,26.5544318448
-14.098752821239998,27.29149724849
-13.40913021214,28.14702792572
-12.861892731859996,29.09994094528
-12.46834964016,30.1260739003
-12.150978576870003,31.17924815598
-11.866858556639997,32.2418751925
-11.612630990409997,33.3120763771
-11.370616441249993,34.38511900683
-11.138448146350001,35.46033498981
-10.916145614160001,36.53763397868
-10.703727524119998,37.61692545101
-10.50121172515,38.69811871698
-10.30861523406,39.78112292697
-10.125954234199995,40.86584707916
-9.95324407407,41.95220002724
-9.790499265999998,43.04009048803
-9.637733484999998,44.12942704914
-9.494959567539993,45.22011817669
-9.362189510500002,46.31207222297
-9.239434470190005,47.40519743414
-9.126704761369993,48.49940195797
-9.024009856389995,49.59459385153
-8.931358384429998,50.69068108892
-8.84875813072,51.78757156901
-8.776216035930005,52.88517312317
-8.713738195570002,53.98339352304
-8.661329859470001,55.08214048824
-8.618995431369996,56.18132169415
-8.586738468500002,57.28084477965
-8.564561681330005,58.38061735493
-8.55246693331,59.48054700918
-8.550000000010002,60.58054173641
-8.550000000010002,61.68054173641
-8.550000000010002,62.78054173641
-8.550000000010002,63.88054173641
-8.550000000010002,64.98054173641
-8.550000000010002,66.08054173641
-8.550000000010002,67.18054173641
-8.550000000010002,68.28054173641
-8.550000000010002,69.38054173641
-8.550000000010002,70.48054173641
-8.550000000010002,71.58054173641
-8.550000000010002,72.68054173641
-8.550000000010002,73.78054173641
-8.550000000010002,74.88054173641
-8.550000000010002,75.98054173641
-8.550000000010002,77.08054173641
-8.550000000010002,78.18054173641
-8.550000000010002,79.28054173641
-8.550000000010002,80.38054173641
-8.550000000010002,81.48054173641
-8.550000000010002,82.58054173641
-8.550000000010002,83.68054173641
-8.550000000010002,84.78054173641
-8.550000000010002,85.88054173641
-8.550000000010002,86.98054173641
-8.550000000010002,88.08054173641
-8.550000000010002,89.18054173641
-8.550000000010002,90.28054173641
-8.550000000010002,91.38054173641
-8.550221456160003,92.48054159459
-8.55737634658,93.58051447369
-8.5746138799,94.68037555341
-8.601932607720002,95.78003241549
