frequency_Hz,level_dB
594.059405940594,-160.0558659217877
596.039603960396,-160.0558659217877
598.0198019801979,-160.0558659217877
600.0,-160.0558659217877
601.980198019802,-160.0558659217877
603.9603960396039,-160.0558659217877
605.940594059406,-160.0558659217877
607.9207920792079,-160.0558659217877
609.9009900990098,-160.0558659217877
611.8811881188119,-160.0558659217877
613.8613861386139,-160.0558659217877
615.8415841584158,-160.0558659217877
617.8217821782179,-160.0558659217877
619.8019801980198,-160.0558659217877
621.7821782178218,-160.0558659217877
623.7623762376238,-160.0558659217877
625.7425742574258,-160.0558659217877
627.7227722772277,-160.0558659217877
629.7029702970297,-160.0558659217877
631.6831683168317,-160.0558659217877
633.6633663366337,-160.0558659217877
635.6435643564356,-160.0558659217877
637.6237623762377,-160.0558659217877
639.6039603960396,-160.0558659217877
641.5841584158416,-160.0558659217877
643.5643564356436,-160.0558659217877
645.5445544554456,-160.0558659217877
647.5247524752475,-160.0558659217877
649.5049504950496,-160.0558659217877
651.4851485148515,-160.0558659217877
653.4653465346535,-160.0558659217877
655.4455445544555,-160.0558659217877
657.4257425742575,-160.0558659217877
659.4059405940594,-160.0558659217877
661.3861386138614,-160.0558659217877
663.3663366336634,-160.0558659217877
665.3465346534654,-160.0558659217877
667.3267326732673,-160.0558659217877
669.3069306930694,-160.0558659217877
671.2871287128713,-160.0558659217877
673.2673267326733,-160.0558659217877
675.2475247524753,-160.0558659217877
677.2277227722773,-160.0558659217877
679.2079207920792,-160.0558659217877
681.1881188118813,-160.0558659217877
683.1683168316832,-160.0558659217877
685.1485148514852,-160.0558659217877
687.1287128712872,-160.0558659217877
689.1089108910891,-160.0558659217877
691.089108910891,-160.0558659217877
693.0693069306931,-160.0558659217877
695.049504950495,-160.0558659217877
697.029702970297,-160.0558659217877
699.0099009900989,-160.0558659217877
700.990099009901,-160.0558659217877
702.9702970297029,-160.0558659217877
704.9504950495049,-160.0558659217877
706.9306930693069,-160.0558659217877
708.9108910891089,-160.0558659217877
710.8910891089108,-160.0558659217877
712.8712871287129,-160.0558659217877
714.8514851485148,-160.0558659217877
716.8316831683168,-160.0558659217877
718.8118811881188,-160.0558659217877
720.7920792079208,-160.0558659217877
722.7722772277227,-160.0558659217877
724.7524752475248,-160.0558659217877
726.7326732673267,-160.0558659217877
728.7128712871287,-160.0558659217877
730.6930693069306,-160.0558659217877
732.6732673267327,-160.0558659217877
734.6534653465346,-160.0558659217877
736.6336633663366,-160.0558659217877
738.6138613861386,-160.0558659217877
740.5940594059406,-160.0558659217877
742.5742574257425,-160.0558659217877
744.5544554455446,-160.0558659217877
746.5346534653465,-160.0558659217877
748.5148514851485,-160.0558659217877
750.4950495049505,-160.0558659217877
752.4752475247525,-160.0558659217877
754.4554455445544,-160.0558659217877
756.4356435643565,-160.0558659217877
758.4158415841584,-160.0558659217877
760.3960396039604,-160.0558659217877
762.3762376237623,-160.0558659217877
764.3564356435644,-160.0558659217877
766.3366336633663,-160.0558659217877
